# MIDI-OD — BYPASS (grounded). ~-6 to -7 dB mids, gentle treble rise to -3.4 @ 20kHz.
Frequency (Hz)	Channel 1 Magnitude (dB)
20.000000000000014	-6.931014904061738
21.006129783328298	-6.999899193585021
22.06287442370156	-7.028590518397242
23.172780176877456	-7.046186206136963
24.33852139180121	-7.053388633420115
25.56290695452439	-7.05058147861879
26.848887056294192	-7.051197701914283
28.199560302121927	-7.049321513035264
29.61818117695826	-7.048603229696328
31.10816788746576	-7.046828955202626
32.67311059828354	-7.045186017974885
34.316780082629144	-7.045521106961374
36.043136808082096	-7.043077653296891
37.85634047944145	-7.043567517551267
39.76076006165051	-7.042011727261089
41.760984306940315	-7.0426764233118275
43.86183281155615	-7.045218805070958
46.06836762870976	-7.046110684802045
48.385905465737814	-7.048270854937058
50.820030494857036	-7.051532240792708
53.37660780838338	-7.057594751425839
56.061797550835756	-7.058691292261782
58.8820697619765	-7.063300766669567
61.8442199665534	-7.068892319375734
64.95538554830607	-7.074647659428609
68.22306294769217	-7.08304991232343
71.65512572476975	-7.088992809134931
75.25984353076092	-7.093878121142212
79.04590203400707	-7.102054165428071
83.02242384833035	-7.1091703746155215
87.19899051422561	-7.11565824066084
91.58566558585183	-7.124179263667676
96.1930188794452	-7.130528345412454
101.03215194158867	-7.139038673366089
106.11472479869758	-7.1459812524345026
111.45298405218026	-7.153826721400272
117.05979238696564	-7.1607917399258785
122.9486595645032	-7.168159501138024
129.13377497490998	-7.1762546731977706
135.6300418267033	-7.184639156729067
142.4531130564986	-7.193429524864258
149.61942904519714	-7.201101064932518
157.1462572315444	-7.208959121241836
165.05173371850557	-7.216222616662956
173.35490697271322	-7.223092862797912
182.07578372228073	-7.232076639338735
191.23537716357177	-7.2383305030038825
200.85575759308608	-7.24373360689434
210.96010558645432	-7.250341590129636
221.57276785268505	-7.257023996699404
232.71931589823802	-7.264357128195335
244.42660764228825	-7.269494046952422
256.7228521316278	-7.275190492091824
269.6376775111587	-7.282731338782346
283.2022024137303	-7.286740859017612
297.4491109413614	-7.291934965761148
312.41273141849217	-7.29704256726574
328.12911910704617	-7.3020132271642115
344.63614308258957	-7.306987170757834
361.9735774809283	-7.312131451028598
380.18319733500056	-7.31548060201354
399.3088792329864	-7.316456297597539
419.3967070401735	-7.31556408676734
440.4950829393192	-7.307659353096633
462.6548440570647	-7.293905614763498
485.92938495740987	-7.270280924274022
510.37478629741196	-7.240679915328174
536.0499499550933	-7.204079790183276
563.0167409551656	-7.160191583517981
591.3401365345361	-7.105778874342693
621.0883827067764	-7.047757642029691
652.3331587028001	-6.981830834204493
685.1497496839747	-6.914295717789047
719.6172281438229	-6.837474339786846
755.8186444354042	-6.760450871376196
793.8412268834675	-6.6807475800089575
833.776591963533	-6.597235249464789
875.7209650543555	-6.514684304659641
919.7754122956635	-6.4298951887295885
966.0460841098488	-6.345274834960838
1014.6444709743774	-6.260980925604214
1065.687672061211	-6.1772969614719075
1119.2986773905388	-6.094302557379457
1175.606664178667	-6.013695039073383
1234.7473080941343	-5.931682020546471
1296.86311017203	-5.853136316959554
1362.103740174221	-5.773209062568599
1430.6263972228269	-5.697000696697264
1502.5961885759018	-5.62243366692012
1578.1865274579905	-5.551390743979762
1657.5795509041352	-5.480192712727215
1740.9665586241626	-5.413380560500575
1828.5484739446772	-5.347697222717224
1920.5363279394367	-5.283677904138287
2017.1517679146255	-5.223273074079535
2118.627591474234	-5.16311437691487
2225.208307452397	-5.103516005325859
2337.1507250642644	-5.045962308523967
2454.7245726949864	-4.990154919949461
2578.2131478177967	-4.93426359339857
2707.913999607197	-4.880547643498389
2844.139645892016	-4.830324942447042
2987.218326175849	-4.779607006270007
3137.4947925393258	-4.729852744786811
3295.3311403298835	-4.677895953291548
3461.1076806406345	-4.62800232846141
3635.2238566805727	-4.5793427293189986
3818.0992062441615	-4.532738987983956
4010.174372599375	-4.48320052413007
4211.912166229978	-4.44183546386736
4423.79867999031	-4.390097253663398
4646.344460359637	-4.345482640423322
4880.085737618144	-4.315482713377288
5125.5857179088	-4.252395415334533
5383.435940298302	-4.207071675417019
5654.257702107001	-4.160866966170257
5938.703555942156	-4.118233527269312
6237.4588820417	-4.073751891145722
6551.24353971708	-4.030456727819295
6880.8136018743935	-3.9837889530948676
7226.963176793197	-3.9389750575049467
7590.526321552619	-3.8954824234232577
7972.379051715182	-3.8489971577944235
8373.441452110832	-3.8111562796606453
8794.679893807044	-3.780546304940884
9237.109362606921	-3.7277843971276163
9701.795904685883	-3.6877309926618747
10189.859195259718	-3.6611608272013427
10702.475236473329	-3.612422775861317
11240.879191010781	-3.5746857109359054
11806.368358254327	-3.541183342664918
12400.305300163534	-3.5044953744590943
13024.121124406443	-3.4764927864785338
13679.31893265345	-3.439172688902496
14367.477442342895	-3.411192929591242
15090.254790644809	-3.384766704935874
15849.3925297888	-3.3590952248363197
16646.719823382857	-3.3386303497218313
17484.157853834182	-3.316538490184122
18363.724451491955	-3.3135258510486914
19287.538956665932	-3.2864176765106023
20000	-3.3640443872106784
