# MIDI-OD — filters open, GAIN MIN (duty_min 0.68), vol max, 0V bias. Final gain-min
# match to TS min-drive. Peak -6.36 dB @ ~79 Hz; low end ~unity (re bypass +0.6 dB).
Frequency (Hz)	Channel 1 Magnitude (dB)
20.000000000000014	-14.112225779725293
21.006129783328298	-14.051431835911174
22.06287442370156	-13.818639099891335
23.172780176877456	-13.535434646580422
24.33852139180121	-13.208082050170793
25.56290695452439	-12.848134424200051
26.848887056294192	-12.473813209718354
28.199560302121927	-12.080901169532343
29.61818117695826	-11.670213191214874
31.10816788746576	-11.247363751778831
32.67311059828354	-10.820443717446036
34.316780082629144	-10.397755647717315
36.043136808082096	-9.974176290757207
37.85634047944145	-9.561811166281538
39.76076006165051	-9.15337582238131
41.760984306940315	-8.753871040955316
43.86183281155615	-8.358071827385508
46.06836762870976	-7.990040728409717
48.385905465737814	-7.649204890289604
50.820030494857036	-7.362380217093044
53.37660780838338	-7.118506788862423
56.061797550835756	-6.91581514739916
58.8820697619765	-6.7498328676138435
61.8442199665534	-6.621629105456819
64.95538554830607	-6.521966360374751
68.22306294769217	-6.4512061515086225
71.65512572476975	-6.400102591417063
75.25984353076092	-6.371772122976304
79.04590203400707	-6.364491396326254
83.02242384833035	-6.3739748953048005
87.19899051422561	-6.396667878906558
91.58566558585183	-6.429612063445358
96.1930188794452	-6.477119142709135
101.03215194158867	-6.534337222320427
106.11472479869758	-6.604262991427923
111.45298405218026	-6.685345710691796
117.05979238696564	-6.776101692978608
122.9486595645032	-6.873041338317268
129.13377497490998	-6.976596376313275
135.6300418267033	-7.0884528638664825
142.4531130564986	-7.2072607177072365
149.61942904519714	-7.33211746076374
157.1462572315444	-7.4623246521043
165.05173371850557	-7.5969128020101255
173.35490697271322	-7.736087652231563
182.07578372228073	-7.881743150020738
191.23537716357177	-8.030260971564287
200.85575759308608	-8.181655342541537
210.96010558645432	-8.334814647776358
221.57276785268505	-8.491428472283975
232.71931589823802	-8.648499650305972
244.42660764228825	-8.80636579659532
256.7228521316278	-8.963650918426332
269.6376775111587	-9.121556372371993
283.2022024137303	-9.27449118160904
297.4491109413614	-9.427356008409006
312.41273141849217	-9.579302866647772
328.12911910704617	-9.729988711750984
344.63614308258957	-9.878596599589374
361.9735774809283	-10.033170534849813
380.18319733500056	-10.187666531465624
399.3088792329864	-10.343878630290959
419.3967070401735	-10.502884396311538
440.4950829393192	-10.664440280468368
462.6548440570647	-10.828076762363336
485.92938495740987	-10.988023331583035
510.37478629741196	-11.150020510512652
536.0499499550933	-11.311849804712564
563.0167409551656	-11.467775833015628
591.3401365345361	-11.620329608803551
621.0883827067764	-11.767664620081359
652.3331587028001	-11.910938513631175
685.1497496839747	-12.044758919299568
719.6172281438229	-12.170518240804844
755.8186444354042	-12.290105116021998
793.8412268834675	-12.39636221934183
833.776591963533	-12.497076839767185
875.7209650543555	-12.58393527749903
919.7754122956635	-12.662454094656603
966.0460841098488	-12.728269921008726
1014.6444709743774	-12.78332938285928
1065.687672061211	-12.832390900755772
1119.2986773905388	-12.863884190604198
1175.606664178667	-12.887688101446624
1234.7473080941343	-12.897910325165968
1296.86311017203	-12.896105877946763
1362.103740174221	-12.880229011074551
1430.6263972228269	-12.853685870488935
1502.5961885759018	-12.816150588925089
1578.1865274579905	-12.765388958501141
1657.5795509041352	-12.69720793827878
1740.9665586241626	-12.627481644467146
1828.5484739446772	-12.54277439221819
1920.5363279394367	-12.445554783511408
2017.1517679146255	-12.339875413767874
2118.627591474234	-12.23183589100774
2225.208307452397	-12.109575942894608
2337.1507250642644	-11.982348689017755
2454.7245726949864	-11.851802839209476
2578.2131478177967	-11.712513524445745
2707.913999607197	-11.572506059897094
2844.139645892016	-11.417365873683172
2987.218326175849	-11.264517831583946
3137.4947925393258	-11.12017577127056
3295.3311403298835	-10.952556553626899
3461.1076806406345	-10.807450480913285
3635.2238566805727	-10.637459076818123
3818.0992062441615	-10.477806187327548
4010.174372599375	-10.324659979156728
4211.912166229978	-10.16325024722714
4423.79867999031	-10.002303359105575
4646.344460359637	-9.843142579820777
4880.085737618144	-9.693483605699289
5125.5857179088	-9.54547925594061
5383.435940298302	-9.40599680380389
5654.257702107001	-9.275805242446694
5938.703555942156	-9.165671410475321
6237.4588820417	-9.0440086253313
6551.24353971708	-8.944338412677439
6880.8136018743935	-8.862473981707774
7226.963176793197	-8.815858972003394
7590.526321552619	-8.78958240641327
7972.379051715182	-8.840033834352191
8373.441452110832	-9.017515805598629
8794.679893807044	-9.239346564987855
9237.109362606921	-9.485276885938426
9701.795904685883	-9.752445360316287
10189.859195259718	-9.988827861981033
10702.475236473329	-10.258051768624831
11240.879191010781	-10.507203353059323
11806.368358254327	-10.764306420396503
12400.305300163534	-11.01738481046711
13024.121124406443	-11.287612147319482
13679.31893265345	-11.56578485589874
14367.477442342895	-11.864524182248832
15090.254790644809	-12.147874276286853
15849.3925297888	-12.453366840504628
16646.719823382857	-12.786445960863311
17484.157853834182	-13.11257410080043
18363.724451491955	-13.45542455173675
19287.538956665932	-13.812764719736775
20257.827326236227	-14.193112102461585
21276.927497158606	-14.597432265920338
22347.295019788977	-14.999793675658196
23471.508974600656	-15.42688732959802
24652.27818655078	-15.868703498933376
25892.447752069904	-16.31329493860732
27195.005894401333	-16.795511644739847
28563.091163808585	-17.286209408423073
30000	-17.784597699100605
