# Tube Screamer — Drive max, Tone 1 o'clock, Level MIN (0%). Near-off, ~-49 dB re bypass @200Hz.
Frequency (Hz)	Channel 1 Magnitude (dB)
20	-34.65693816
20.942570961	-34.833508836
21.9295639229	-35.0704850911
22.9630724299	-35.3330693791
24.0452886923	-35.6214063644
25.1785082359	-35.9260748303
26.3651347711	-36.2469070342
27.6076852921	-36.5888469904
28.9087954149	-36.9501520843
30.2712249687	-37.2970174871
31.6978638492	-37.6558393273
33.1917381488	-37.9889894121
34.756016575	-38.3237004486
36.3940171722	-38.6447053286
38.1092143593	-38.9695022411
39.9052462994	-39.3148318957
41.7859226171	-39.6878731117
43.755232479	-40.0682092323
45.8173530554	-40.4037548821
47.9766583804	-40.7346671989
50.2377286302	-41.1275337572
52.6053598379	-41.4658161775
55.0845740668	-41.8500084001
57.6806300625	-42.2141989504
60.399034408	-42.5906506901
63.2455532034	-42.9369893561
66.2262242965	-43.3312733439
69.3473700905	-43.6935578105
72.615610954	-44.0727919291
76.0378792641	-44.4718103171
79.6214341107	-44.8027612868
83.3738766941	-45.1587790528
87.303166448	-45.5370291758
91.417637923	-45.9524665145
95.7260184645	-46.2797761777
100.237446725	-46.761955803
104.96149205	-47.0198005715
109.908174772	-47.4308140556
115.087987467	-47.8604519961
120.511917215	-48.0864041632
126.191468896	-48.5159178099
132.138689602	-48.9225646164
138.366194184	-49.2396870446
144.887192015	-49.6933761767
151.715515006	-49.8466352989
158.865646945	-50.3501312484
166.352754221	-50.6756276157
174.192717991	-51.021393302
182.402167871	-51.3005679609
190.998517204	-51.5981033548
200	-51.9714797546
209.42570961	-52.1888813182
219.295639229	-52.5996254724
229.630724299	-52.9202623053
240.452886923	-53.2723203594
251.785082359	-53.3626872971
263.651347711	-54.0409547263
276.076852921	-54.138185087
289.087954149	-54.4975020345
302.712249687	-54.5896246063
316.978638492	-55.1290514531
331.917381488	-55.446171185
347.56016575	-55.7525119569
363.940171722	-55.8682051074
381.092143593	-56.1665707408
399.052462994	-56.5478216409
417.859226171	-56.6518610743
437.55232479	-57.2380351885
458.173530554	-57.1438617582
479.766583804	-57.6003137858
502.377286302	-57.6612210743
526.053598379	-58.4030340729
550.845740668	-58.6192944669
576.806300625	-58.6597690731
603.99034408	-59.0161013136
632.455532034	-59.6304863901
662.262242965	-59.4972404958
693.473700905	-60.0831538322
726.15610954	-60.2578484258
760.378792641	-60.2077195692
796.214341107	-60.8262134683
833.738766941	-61.6213438275
873.03166448	-61.7060230325
914.17637923	-61.274698296
957.260184645	-61.3008782473
1002.37446725	-61.7612883437
1049.6149205	-62.1622880066
1099.08174772	-63.0772121438
1150.87987467	-62.9292242396
1205.11917215	-62.7151221162
1261.91468896	-63.6135648035
1321.38689602	-64.4966643175
1383.66194184	-63.8474261096
1448.87192015	-64.194549629
1517.15515006	-64.7129336493
1588.65646945	-64.889142545
1663.52754221	-64.891381689
1741.92717991	-65.9200308561
1824.02167871	-65.1805956611
1909.98517204	-66.3339557363
2000	-65.9810365045
2094.2570961	-66.9064910422
2192.95639229	-66.5563146041
2296.30724299	-66.5689327104
2404.52886923	-66.4256293326
2517.85082359	-67.6056493514
2636.51347711	-67.9357457986
2760.76852921	-67.951542531
2890.87954149	-67.38409883
3027.12249687	-68.0766924885
3169.78638492	-69.1684097643
3319.17381488	-69.2535275326
3475.6016575	-68.8972551134
3639.40171722	-67.4202088022
3810.92143593	-68.9794045189
3990.52462994	-67.1673506685
4178.59226171	-67.8642434554
4375.5232479	-69.3158680017
4581.73530554	-69.8941060805
4797.66583804	-69.1786129496
5023.77286302	-68.7152543791
5260.53598379	-70.5708564397
5508.45740668	-70.9029685555
5768.06300625	-69.9089777503
6039.9034408	-69.2167953683
6324.55532034	-69.6526303857
6622.62242965	-73.1988380832
6934.73700905	-71.719682782
7261.5610954	-69.1857146724
7603.78792641	-70.636034
7962.14341107	-71.2760558659
8337.38766941	-69.178318559
8730.3166448	-73.3613893147
9141.7637923	-70.2946954847
9572.60184645	-69.8865503095
10023.7446725	-72.2362137061
10496.149205	-69.9132255718
10990.8174772	-69.8770409278
11508.7987467	-71.3816214968
12051.1917215	-72.8882134332
12619.1468896	-70.8477461233
13213.8689602	-70.1717615707
13836.6194184	-72.6246401269
14488.7192015	-71.7678618847
15171.5515006	-74.8391899749
15886.5646945	-71.0560086244
16635.2754221	-71.2790020423
17419.2717991	-72.5826151182
18240.2167871	-70.7437883652
19099.8517204	-70.0661418842
20000	-70.5298663093
